嗽,嗽,嗽,咳ㄙㄡˋ、ㄙㄡˋ血、啾ㄙㄡˋ,咳sou
櫚,榈,櫚,棕ㄌㄩˊ、栟ㄌㄩˊ、花ㄌㄩˊ,棕lü2、棕lü2油
壹,壹,壱,ㄧ-佰、ㄧ-仟、拾ㄧ-,
矢,矢,矢,ㄕˇ量、放ㄕˇ、箭ㄕˇ,shi3志、shi3量、shi3车菊
蠟,蜡,蝋,ㄌㄚˋ燭、ㄌㄚˋ筆、打ㄌㄚˋ,la4烛、la4黄、石la4
念,念,念,概ㄋㄧㄢˋ、理ㄋㄧㄢˋ、觀ㄋㄧㄢˋ,观nian4、纪nian4、概nian4
郭,郭,郭,ㄍㄨㄛ-靖、ㄍㄨㄛ-嘉、老ㄍㄨㄛ-,城guo1、东guo1先生
增,增,増,ㄗㄥ-加、ㄗㄥ-長、ㄗㄥ-強,zeng1加、zeng1长、zeng1强
貴,贵,貴,ㄍㄨㄟˋ族、昂ㄍㄨㄟˋ、寶ㄍㄨㄟˋ,宝gui4、gui4州、珍gui4
牟,牟,牟,ㄇㄡˊ利、中ㄇㄡˊ、ㄇㄡˊ平,mou2利、mou2取、释迦mou2尼
霉,霉,霉,倒ㄇㄟˊ、發ㄇㄟˊ、ㄇㄟˊ運,倒mei2、发mei2、mei2菌
頂,顶,頂,ㄉㄧㄥˇ級、ㄉㄧㄥˇ尖、ㄉㄧㄥˇ部,头ding3、屋ding3、山ding3
嚮,向,嚮,ㄒㄧㄤˋ往、ㄒㄧㄤˋ導、ㄒㄧㄤˋ明,方xiang4、走xiang4、面xiang4
陣,阵,陣,ㄓㄣˋ容、一ㄓㄣˋ、矩ㄓㄣˋ,一zhen4、zhen4地、zhen4容
糖,糖,糖,血ㄊㄤˊ、ㄊㄤˊ果、白ㄊㄤˊ,tang2果、血tang2、白tang2
漳,漳,漳,ㄓㄤ-州、ㄓㄤ-平、ㄓㄤ-浦,
霜,霜,霜,眼ㄕㄨㄤ-、面ㄕㄨㄤ-、冰ㄕㄨㄤ-,风shuang1、shuang1冻、shuang1降
匱,匮,匱,ㄎㄨㄟˋ乏、金ㄍㄨㄟˋ、不ㄎㄨㄟˋ,kui4乏
方,方,方,ㄈㄤ-式、ㄈㄤ-面、ㄈㄤ-向,fang1面、fang1式、fang1法
律,律,律,法ㄌㄩˋ、ㄌㄩˋ師、規ㄌㄩˋ,法lü4、规lü4、lü4师
跺,跺,跺,ㄉㄨㄛˋ腳、ㄉㄨㄛˋ了、ㄉㄨㄛˋ足,duo4脚
勾,勾,勾,ㄍㄡ-引、ㄍㄡ-選、ㄍㄡ-搭,gou1结、gou1勒、gou4当
剌,剌,剌,潑ㄌㄚˋ、乖ㄌㄚˊ、刮˙ㄌㄚ,
短,短,短,ㄉㄨㄢˇ信、ㄉㄨㄢˇ期、ㄉㄨㄢˇ暫,duan3期、缩duan3、duan3缺
烙,烙,烙,ㄌㄠˋ印、ㄌㄠˋ鐵、ㄌㄠˋ餅,lao4印、lao4饼、lao4铁
鉀,钾,鉀,ㄐㄧㄚˇ肥、ㄐㄧㄚˇ鹽、ㄐㄧㄚˇ礦,jia3肥、jia3盐、高锰酸jia3
婪,婪,婪,貪ㄌㄢˊ、多ㄌㄢˊ、ㄌㄢˊ索,贪lan2
痱,痱,痱,ㄈㄟˋ子、ㄈㄟˋ粉、ㄈㄟˋ子粉,fei4子、fei4子粉
戮,戮,戮,殺ㄌㄨˋ、屠ㄌㄨˋ、ㄌㄨˋ力,杀lu4、屠lu4、诛lu4
嫣,嫣,嫣,ㄧㄢ-然、ㄧㄢ-紅、唐ㄧㄢ-,yan1红、yan1然、姹紫yan1红
瘴,瘴,瘴,ㄓㄤˋ氣、毒ㄓㄤˋ、ㄓㄤˋ癘,zhang4气、zhang4疠、乌烟zhang4气
妄,妄,妄,ㄨㄤˋ想、ㄨㄤˋ圖、狂ㄨㄤˋ,wang4图、wang4想、狂wang4
蝨,虱,蝨,ㄕ-子、木ㄕ-、塘ㄕ-,shi1子
究,究,究,研ㄐㄧㄡˋ、ㄐㄧㄡˋ竟、講˙ㄐㄧㄡ,研jiu1、jiu1竟、追jiu1
犖,荦,犖,ㄌㄨㄛˋㄌㄨㄛˋ、卓ㄌㄨㄛˋ、ㄌㄨㄛˋ确,
世,世,世,ㄕˋ界、ㄕˋ紀、去ㄕˋ,shi4纪、shi4界、逝shi4
閭,闾,閭,闔ㄌㄩˊ、ㄌㄩˊ里、ㄌㄩˊ閻,lü2里
冗,冗,冗,ㄖㄨㄥˇ餘、ㄖㄨㄥˇ長、繁ㄖㄨㄥˇ,rong3长、rong3员、拨rong3
衙,衙,衙,ㄧㄚˊ門、縣ㄩˊ、ㄧㄚˊ役,ya2门、清水ya2门
離,离,離,距ㄌㄧˊ、ㄌㄧˊ開、ㄌㄧˊ職,li2开、距li2、脱li2
仳,仳,仳,ㄆㄧˇ離、ㄆㄧˇ倠,
詐,诈,詐,ㄓㄚˋ騙、欺ㄓㄚˋ、敲ㄓㄚˋ,zha4骗、欺zha4、敲zha4
嬸,婶,嬸,大ㄕㄣˇ、ㄕㄣˇ˙ㄕㄣ、ㄕㄣˇ子,shen3子、shen3shen3、shen3娘
爰,爰,爰,兔ㄩㄢˊ、ㄩㄢˊ居、ㄩㄢˊ書,
寸,寸,寸,尺˙ㄘㄨㄣ、英ㄘㄨㄣˋ、頭ㄘㄨㄣˋ,尺cun、英cun4、分cun
泗,泗,泗,ㄙˋ洪、ㄙˋ陽、ㄙˋ水,
陴,陴,陴,ㄆㄧˊ縣、登ㄆㄧˊ,
岡,冈,岡,黃ㄍㄤ-、武ㄍㄤ-、福ㄍㄤ-,山gang1
保,保,保,ㄅㄠˇ證、ㄅㄠˇ持、ㄅㄠˇ護,bao3护、bao3持、bao3证
作,作,作,工ㄗㄨㄛˋ、ㄗㄨㄛˊ爲、ㄗㄨㄛˋ品,工zuo4、zuo4品、zuo4者
蛤,蛤,蛤,ㄏㄚˊ蟆、ㄍㄜˊ蜊、ㄍㄜˊ蚧,ha2蟆、ge2蜊、文ge2
餃,饺,餃,ㄐㄧㄠˇ子、水ㄐㄧㄠˇ、蝦ㄐㄧㄠˇ,jiao3子、水jiao3、蒸jiao3
輟,辍,輟,ㄔㄨㄛˋ學、不ㄔㄨㄛˋ、ㄔㄨㄛˋ耕,chuo4学、chuo4笔
乏,乏,乏,缺ㄈㄚˊ、不ㄈㄚˊ、匱ㄈㄚˊ,缺fa2、不fa2、匮fa2
縲,缧,縲,ㄌㄟˊ絏、ㄌㄟˊ紲、身陷ㄌㄟˊ絏,
傷,伤,傷,ㄕㄤ-害、損ㄕㄤ-、受ㄕㄤ-,shang1害、受shang1、shang1亡
倦,倦,倦,厭ㄐㄩㄢˋ、疲ㄐㄩㄢˋ、ㄐㄩㄢˋ怠,疲juan4、厌juan4、困juan4
申,申,申,ㄕㄣ-請、ㄕㄣ-報、ㄕㄣ-購,shen1请、重shen1、shen1报
螻,蝼,螻,ㄌㄡˊ蟻、ㄌㄡˊ蛄、ㄌㄡˊ蟈,lou2蚁、lou2蛄
忌,忌,忌,切ㄐㄧˋ、禁ㄐㄧˋ、ㄐㄧˋ諱,顾ji4、ji4讳、切ji4
蘑,蘑,蘑,ㄇㄛˊ菇、口ㄇㄛˊ、松ㄇㄛˊ,mo2菇、口mo2、mo2菇云
二,二,二,第ㄦˋ、ㄦˋ是、ㄦˋ人,er4者、er4战、一er4
寓,寓,寓,公ㄩˋ、ㄩˋ意、ㄩˋ言,公yu4、yu4意、yu4言
荏,荏,荏,ㄖㄣˇ苒、ㄖㄣˇ弱、內ㄖㄣˇ,ren3苒、色厉内ren3
泅,泅,泅,ㄑㄧㄡˊ渡、ㄑㄧㄡˊ水、ㄑㄧㄡˊ泳,qiu2水、qiu2渡
遇,遇,遇,ㄩˋ到、待ㄩˋ、遭ㄩˋ,机yu4、待yu4、遭yu4
鑣,镳,鑣,保ㄅㄧㄠ-、ㄅㄧㄠ-局、ㄅㄧㄠ-客,分道扬biao1
豁,豁,豁,ㄏㄨㄛˋ免、ㄏㄨㄛˋ達、ㄏㄨㄛˋ然,huo4达、huo4免、huo4然
澡,澡,澡,洗ㄗㄠˇ、ㄗㄠˇ堂、泡ㄗㄠˇ,洗zao3、zao3堂、zao3盆
伐,伐,伐,步ㄈㄚ-、北ㄈㄚ-、討ㄈㄚ-,步fa2、采fa2、砍fa2
沐,沐,沐,ㄇㄨˋ浴、ㄇㄨˋ川、ㄇㄨˋ恩,mu4浴、栉风mu4雨
鬢,鬓,鬢,兩ㄅㄧㄣˋ、ㄅㄧㄣˋ角、耳ㄅㄧㄣˋ,bin4发、bin4角、两bin4
婀,婀,婀,ㄜ-娜、媕ㄜ-、ㄜ-娜多姿,e1娜、e1娜多姿
糜,糜,糜,ㄇㄧˊ爛、乳ㄇㄧˊ、肉ㄇㄟˊ,mi2烂、mei2子、奢mi2
蜈,蜈,蜈,ㄨˊ蚣、ㄨˊ蚣洞、ㄨˊ蚣草,wu2蚣
筋,筋,筋,鋼ㄐㄧㄣ-、腦ㄐㄧㄣ-、抽ㄐㄧㄣ-,脑jin1、钢jin1、jin1骨
人,人,人,個ㄖㄣˊ、ㄖㄣˊ類、有ㄖㄣˊ,ren2们、ren2民、个ren2
訝,讶,訝,驚ㄧㄚˋ、ㄧㄚˋ異、ㄧㄚˋ然,惊ya4
囌,苏,囌,嚕ㄙㄨ-、囉ㄙㄨ-、嚕嚕ㄙㄨ-ㄙㄨ-,su1联、江su1、复su1
駱,骆,駱,ㄌㄨㄛˋ駝、ㄌㄨㄛˋ馬、ㄌㄨㄛˋ驛,luo4驼、luo4驼刺、luo4驼草
娣,娣,娣,ㄉㄧˋ姒、溫ㄉㄧˋ、招ㄉㄧˋ,
後,后,後,然ㄏㄡˋ、之ㄏㄡˋ、最ㄏㄡˋ,之hou4、最hou4、以hou4
鋁,铝,鋁,ㄌㄩˇ業、中ㄌㄩˇ、ㄌㄩˇ箔,lü3箔、lü3锅、lü3合金
駕,驾,駕,ㄐㄧㄚˋ駛、ㄐㄧㄚˋ馭、ㄐㄧㄚˋ照,jia4驶、jia4驭、jia4车
嚕,噜,嚕,呼ㄌㄨ-、咕˙ㄌㄨ、嘟˙ㄌㄨ,咕lu1、呼lu1、嘟lu1
澧,澧,澧,ㄌㄧˇ縣、臨ㄌㄧˇ、ㄌㄧˇ水,
齡,龄,齢,年ㄌㄧㄥˊ、大ㄌㄧㄥˊ、高ㄌㄧㄥˊ,年ling2、老ling2、高ling2
肱,肱,肱,ㄍㄨㄥ-骨、股ㄍㄨㄥ-、折ㄍㄨㄥ-,股gong1、gong1骨
注,注,注,關ㄓㄨˋ、ㄓㄨˋ意、專ㄓㄨˋ,zhu4意、关zhu4、zhu4重
蚵,蚵,蚵,ㄎㄜ-仔、青ㄜˊ、ㄎㄜ-仔煎,
響,响,響,影ㄒㄧㄤˇ、ㄒㄧㄤˇ應、音ㄒㄧㄤˇ,影xiang3、反xiang3、xiang3应
帶,带,帯,ㄉㄞˋ來、ㄉㄞˋ着、ㄉㄞˋ有,dai4领、dai4动、一dai4
偌,偌,偌,ㄖㄨㄛˋ大、ㄖㄨㄛˋ多、ㄖㄨㄛˋ時,ruo4大
抖,抖,抖,ㄉㄡˇ音、ㄉㄡˇ動、顫ㄉㄡˇ,颤dou3、发dou3、dou3动
邂,邂,邂,ㄒㄧㄝˋ逅、ㄒㄧㄝˋ逅了、ㄒㄧㄝˋ逅相遇,xie4逅
或,或,或,ㄏㄨㄛˋ者、ㄏㄨㄛˋ許、ㄏㄨㄛˋ是,huo4者、huo4是、huo4许
蘗,蘗,蘗,分ㄅㄛˋ、ㄅㄛˋ米、黃ㄅㄛˋ,
操,操,操,ㄘㄠ-作、曹ㄘㄠ-、ㄘㄠ-控,cao1作、体cao1、情cao1
躁,躁,躁,浮ㄗㄠˋ、煩ㄗㄠˋ、暴ㄗㄠˋ,浮zao4、烦zao4、急zao4
衷,衷,衷,初ㄓㄨㄥ-、熱ㄓㄨㄥ-、ㄓㄨㄥ-心,zhong1心、由zhong1、热zhong1
武,武,武,ㄨˇ器、ㄨˇ漢、ㄨˇ將,wu3器、wu3装、wu3汉
璣,玑,璣,璇ㄐㄧ-、珠ㄐㄧ-、天ㄐㄧ-,珠ji1
枚,枚,枚,一ㄇㄟˊ、這ㄇㄟˊ、ㄇㄟˊ舉,mei2举、猜mei2、不胜mei2举
娼,娼,娼,嫖ㄔㄤ-、ㄔㄤ-妓、暗ㄔㄤ-,嫖chang1、chang1妓、暗chang1
毗,毗,毗,ㄆㄧˊ鄰、ㄆㄧˊ連、荼ㄆㄧˊ,pi2邻、pi2连
用,用,用,使ㄩㄥˋ、ㄩㄥˋ戶、作ㄩㄥˋ,作yong4、利yong4、使yong4
均,均,均,平ㄐㄩㄣ-、人ㄩㄣˋ、ㄐㄩㄣ-勻,平jun1、人jun1、年jun1
冊,册,冊,註ㄘㄜˋ、手ㄘㄜˋ、相ㄘㄜˋ,注ce4、手ce4、画ce4
紜,纭,紜,紛ㄩㄣˊ、ㄩㄣˊㄩㄣˊ、衆說紛ㄩㄣˊ,纷yun2、众说纷yun2、聚讼纷yun2
鼠,鼠,鼠,ㄕㄨˇ標、老ㄕㄨˇ、小ㄕㄨˇ,老shu3、shu3标、松shu3
夜,夜,夜,熬ㄧㄝˋ、ㄧㄝˋ晚、半ㄧㄝˋ,ye4间、ye4里、ye4晚
睜,睁,睜,ㄓㄥ-開、ㄓㄥ-眼、ㄓㄥ-大,zheng1眼、眼zheng1zheng1、zheng1眼瞎
瑜,瑜,瑜,ㄩˊ伽、周ㄩˊ、ㄩˊ珈,瑕不掩yu2、瑕yu2互见、yu2伽
瓜,瓜,瓜,西ㄍㄨㄚ-、傻ㄍㄨㄚ-、南ㄍㄨㄚ-,西gua1、傻gua1、黄gua1
臾,臾,臾,須ㄩˊ、顓ㄩˊ、甌ㄩˊ,须yu2
茉,茉,茉,ㄇㄛˋ莉、ㄇㄛˋㄇㄛˋ、ㄇㄛˋ莉花,mo4莉、mo4莉花
癩,癞,癩,ㄌㄞˋ子、ㄌㄞˋ頭、ㄌㄞˋ瘡,lai4子、la4痢、lai4疮
句,句,句,一ㄍㄡ-、ㄐㄩˋ子、幾ㄍㄡ-,ju4子、诗ju4、ju4号
寶,宝,宝,淘ㄅㄠˇ、ㄅㄠˇㄅㄠˇ、ㄅㄠˇ貝,bao3贵、bao3贝、法bao3
燐,燐,燐,ㄌㄧㄣˊ光、ㄌㄧㄣˊ火、紅ㄌㄧㄣˊ,
簿,簿,簿,賬ㄅㄛˊ、相ㄅㄨˋ、對ㄅㄨˋ,账bu4、bu4子、bu4记
囤,囤,囤,ㄊㄨㄣˊ貨、ㄊㄨㄣˊ積、ㄊㄨㄣˊ聚,tun2积、粮tun2、tun2积居奇
彗,彗,彗,ㄏㄨㄟˋ星、ㄏㄨㄟˋ核、ㄏㄨㄟˋ尾,hui4星、hui4核、hui4尾
懿,懿,懿,ㄧˋ德、ㄧˋ旨、ㄧˋ行,
距,距,距,ㄐㄩˋ離、差ㄐㄩˋ、間ㄐㄩˋ,ju4离、差ju4、相ju4
瀕,濒,瀕,ㄅㄧㄣ-臨、ㄅㄧㄣ-死、ㄅㄧㄣ-危,bin1临、bin1危、bin1于
掘,掘,掘,挖ㄐㄩㄝˊ、發ㄐㄩㄝˊ、ㄐㄩㄝˊ金,挖jue2、发jue2、开jue2
圍,围,囲,範ㄨㄟˊ、氛ㄨㄟˊ、周ㄨㄟˊ,范wei2、周wei2、wei2绕
廠,厂,廠,工ㄔㄤˇ、ㄔㄤˇ商、大ㄔㄤˇ,工chang3、chang3家、chang3商
穗,穗,穂,麥ㄙㄨㄟˋ、三ㄙㄨㄟˋ、稻ㄙㄨㄟˋ,麦sui4、抽sui4、sui4子
叫,叫,叫,就ㄐㄧㄠˋ、名ㄐㄧㄠˋ、ㄐㄧㄠˋ我,jiao4做、喊jiao4、jiao4喊
螃,螃,螃,ㄆㄤˊ蟹、ㄆㄤˊ蜞、ㄆㄤˊ蠏,pang2蟹
譚,谭,譚,哥ㄊㄢˊ、夜ㄊㄢˊ、奇ㄊㄢˊ,天方夜tan2
先,先,先,首ㄒㄧㄢ-、ㄒㄧㄢ-生、ㄒㄧㄢˋ說,xian1生、首xian1、xian1进
愈,愈,愈,治ㄩˋ、ㄩˋ發、ㄩˋ合,治yu4、yu4加、痊yu4
煌,煌,煌,輝ㄏㄨㄤˊ、敦ㄏㄨㄤˊ、ㄏㄨㄤˊㄏㄨㄤˊ,辉huang2、huang2huang2、金碧辉huang2
秉,秉,秉,ㄅㄧㄥˇ承、ㄅㄧㄥˇ持、ㄅㄧㄥˇ性,bing3承、bing3性、bing3公
抗,抗,抗,對ㄎㄤˋ、反ㄎㄤˋ、抵ㄎㄤˋ,kang4战、kang4日、kang4击
錘,锤,錘,ㄔㄨㄟˊ子、實ㄔㄨㄟˊ、大ㄔㄨㄟˊ,chui2炼、铁chui2、chui2子
希,希,希,ㄒㄧ-望、ㄒㄧ-臘、ㄒㄧ-爾,xi1望、xi1腊、xi1冀
盥,盥,盥,ㄍㄨㄢˋ洗、ㄍㄨㄢˋ漱、濯ㄍㄨㄢˋ,guan4洗、guan4洗室
非,非,非,ㄈㄟ-常、並ㄈㄟ-、除ㄈㄟ-,fei1常、并fei1、fei1洲
共,共,共,ㄍㄨㄥˋ同、一ㄍㄨㄥˋ、ㄍㄨㄥˋ享,gong4同、公gong4、gong4有
壓,压,圧,ㄧㄚ-力、ㄧㄚ-縮、ㄧㄚ-制,ya1力、ya1迫、ya1缩
沸,沸,沸,ㄈㄟˋ騰、ㄈㄟˋ點、煮ㄈㄟˋ,fei4腾、鼎fei4、fei4点
漫,漫,漫,ㄇㄢˋ畫、動ㄇㄢˊ、浪ㄇㄢˋ,man4长、浪man4、man4画
削,削,削,ㄒㄩㄝˋ弱、剝ㄒㄩㄝˋ、ㄒㄩㄝˋ減,剥xue1、xue1弱、xue1减
齋,斋,斎,聊ㄓㄞ-、書ㄓㄞ-、ㄓㄞ-月,书zhai1、zhai1月、吃zhai1
慶,庆,慶,重ㄑㄧㄥˋ、國ㄑㄧㄥˋ、ㄑㄧㄥˋ幸,重qing4、qing4祝、国qing4
妃,妃,妃,貴ㄈㄟ-、王ㄈㄟ-、ㄈㄟ-子,王fei1、后fei1、fei1子
佰,佰,佰,伍ㄇㄛˋ、壹ㄇㄛˋ、貳ㄇㄛˋ,
宏,宏,宏,ㄏㄨㄥˊ觀、ㄏㄨㄥˊ大、ㄏㄨㄥˊ偉,hong2观、hong2伟、hong2大
控,控,控,ㄎㄨㄥˋ制、操ㄎㄨㄥˋ、監ㄎㄨㄥˋ,kong4制、调kong4、监kong4
脩,修,脩,ㄒㄧㄡ-飾、靈ㄒㄧㄡ-、ㄒㄧㄡ-潤,xiu1改、xiu1建、维xiu1
仆,仆,仆,ㄆㄨ-街、ㄆㄨ-地、ㄆㄨ-倒,公pu2、pu2人、女pu2
蚱,蚱,蚱,螞˙ㄓㄚ、ㄓㄚˋ蜢、ㄓㄚˋ蟬,zha4蜢、蚂zha
犧,牺,犠,ㄒㄧ-牲、伏ㄒㄧ-、庖ㄒㄧ-,xi1牲、xi1牲品、自我xi1牲
雪,雪,雪,暴ㄒㄩㄝˋ、滑ㄒㄩㄝˇ、ㄒㄩㄝˇ山,冰xue3、xue3花、xue3白
鴿,鸽,鴿,ㄍㄜ-子、飛ㄍㄜ-、信ㄍㄜ-,ge1子、信ge1、家ge1
帕,帕,帕,ㄆㄚˋ克、手ㄆㄚˋ、卡ㄆㄚˋ,手pa4、头pa4、pa4金森病
霸,霸,覇,學ㄅㄚˋ、滅ㄅㄚˋ、ㄅㄚˋ氣,ba4权、ba4王、称ba4
珮,珮,珮,玉ㄆㄟˋ、ㄆㄟˋ林、ㄆㄟˋ環,
奠,奠,奠,ㄉㄧㄢˋ定、祭ㄉㄧㄢˋ、ㄉㄧㄢˋ基,dian4定、dian4基、祭dian4
憾,憾,憾,遺ㄏㄢˋ、缺ㄏㄢˋ、震ㄏㄢˋ,遗han4、缺han4、han4事
戌,戌,戌,戊ㄒㄩ-、甲ㄒㄩ-、丙ㄒㄩ-,xu1时
歟,欤,歟,,
滔,滔,滔,ㄊㄠ-ㄊㄠ-、ㄊㄠ-天、黃ㄊㄠ-,tao1tao1、tao1天、tao1tao1不绝
擄,掳,擄,ㄌㄨˇ掠、ㄌㄨˇ獲、ㄌㄨˇ走,lu3掠
蚤,蚤,蚤,跳ㄗㄠˇ、水ㄗㄠˇ、虼˙ㄗㄠ,跳zao3、跳zao市场
趨,趋,趨,ㄑㄩ-勢、ㄘㄨˋ於、日ㄘㄨˋ,qu1势、日qu1、qu1于
渴,渴,渇,ㄎㄜˇ望、ㄎㄜˇ求、飢ㄎㄜˇ,ke3望、ke3求、饥ke3
朔,朔,朔,王ㄕㄨㄛˋ、陽ㄕㄨㄛˋ、ㄕㄨㄛˋ州,shuo4方、shuo4风、shuo4日
金,金,金,基ㄐㄧㄣ-、ㄐㄧㄣ-融、資ㄐㄧㄣ-,资jin1、jin1融、基jin1
枝,枝,枝,荔ㄓ-、樹ㄓ-、一ㄑㄧˊ,树zhi1、荔zhi1、zhi1叶
采,采,采,風ㄘㄞˇ、尼ㄘㄞˋ、文ㄘㄞˇ,cai3取、cai3用、cai3访
榴,榴,榴,ㄌㄧㄡˊ蓮、石ㄌㄧㄡˊ、ㄌㄧㄡˊ槤,石liu、liu2弹、liu2莲
棣,棣,棣,朱ㄊㄧˋ、無ㄊㄧˋ、棠ㄉㄧˋ,棠di4
渭,渭,渭,ㄨㄟˋ南、ㄨㄟˋ濱、ㄨㄟˋ城,泾wei4分明
丙,丙,丙,ㄅㄧㄥˇ烯、ㄅㄧㄥˇ酮、ㄅㄧㄥˇ烷,bing3纶
儒,儒,儒,ㄖㄨˊ家、侏ㄖㄨˊ、ㄖㄨˊ學,ru2家、ru2学、ru2雅
尹,尹,尹,伊ㄧㄣˇ、府ㄧㄣˇ、ㄧㄣˇ正,
頒,颁,頒,ㄅㄢ-發、ㄅㄢ-佈、ㄅㄢ-布,ban1布、ban1发、ban1奖
莉,莉,莉,茉˙ㄌㄧ、ㄌㄧˋㄌㄧˋ、蘿ㄌㄧˋ,茉li4、茉li4花
倆,俩,倆,他ㄌㄧㄚˇ、這ㄌㄧㄤˇ、ㄌㄧㄤˇ人,咱lia3、伎liang3、哥儿lia3
姚,姚,姚,ㄧㄠˊ明、餘ㄧㄠˊ、ㄧㄠˊ麥,
朮,术,朮,白ㄓㄨˊ、蒼ㄓㄨˊ、兀ㄓㄨˊ,艺shu4、技shu4、学shu4
激,激,激,刺ㄐㄧ-、ㄐㄧ-烈、ㄐㄧ-勵,ji1动、ji1烈、刺ji1
磺,磺,磺,硫ㄏㄨㄤˊ、ㄏㄨㄤˊ酸、ㄏㄨㄤˊ胺,huang2胺
帛,帛,帛,ㄅㄛˊ書、玉ㄅㄛˊ、財ㄅㄛˊ,玉bo2、财bo2、布bo2
窩,窝,窩,被ㄨㄛ-、蜂ㄨㄛ-、小ㄨㄛ-,wo1囊、wo1棚、眼wo1
惘,惘,惘,迷ㄨㄤˇ、ㄨㄤˇ然、悵ㄨㄤˇ,迷wang3、wang3然、怅wang3
竊,窃,窃,盜ㄑㄧㄝˋ、ㄑㄧㄝˋ取、剽ㄑㄧㄝˋ,盗qie4、qie4取、qie4qie4
絞,绞,絞,ㄐㄧㄠˇ痛、ㄐㄧㄠˇ盡、ㄐㄧㄠˇ肉,jiao3痛、jiao3车、jiao3死
髒,脏,髒,骯ㄗㄤ-、ㄗㄤ-話、弄ㄗㄤ-,心zang4、肮zang1、肝zang4
鮑,鲍,鮑,ㄅㄠˋ勃、ㄅㄠˋ魚、ㄅㄠˋ照,bao4鱼
云,云,云,ㄩㄣˊㄩㄣˊ、小ㄩㄣˊ、所ㄩㄣˊ,yun2南、白yun2、风yun2
仞,仞,仞,千ㄖㄣˋ、萬ㄖㄣˋ、松本ㄖㄣˋ,
壺,壶,壺,冰ㄏㄨˊ、水ㄏㄨˊ、一ㄏㄨˊ,茶hu2、水hu2、酒hu2
允,允,允,ㄩㄣˇ許、ㄩㄣˇ浩、公ㄩㄣˇ,yun3许、yun3诺、应yun3
戒,戒,戒,魔ㄐㄧㄝˋ、ㄐㄧㄝˋ指、ㄐㄧㄝˋ菸,jie4指、警jie4、jie4毒
層,层,層,ㄘㄥˊ面、ㄘㄥˊ次、底ㄘㄥˊ,基ceng2、ceng2次、高ceng2
饞,馋,饞,ㄔㄢˊ嘴、眼ㄔㄢˊ、解ㄔㄢˊ,眼chan2、chan2嘴、解chan2
悉,悉,悉,熟ㄒㄧ-、獲ㄒㄧ-、ㄒㄧ-尼,熟xi1、据xi1、获xi1
戟,戟,戟,畫ㄐㄧˇ、巴ㄐㄧˇ、戰ㄐㄧˇ,三叉ji3、折ji3沉沙
努,努,努,ㄋㄨˇ力、ㄋㄨˇ嘴、基ㄋㄨˇ,nu3力、nu3嘴
荸,荸,荸,ㄅㄧˊ薺、ㄅㄧˊㄅㄧˊ,bi2荠
址,址,址,地ㄓˇ、網ㄓˇ、遺ㄓˇ,遗zhi3、地zhi3、旧zhi3
